GivenName,Surname
Raymond,Patenaude
Aimée,Pépin
Marthe,Boncoeur
Estelle,Labossière
Tempeste,Saucier
Logistilla,Roux
Delmar,Allain
Porter,Sauvé
Davet,Bousquet
Tearlach,Devost
Legget,Meunier
Favor,Archambault
Searlait,Grandbois
Fortun,Guernon
Aubrey,Meilleur
Seymour,Jolicoeur
Quincy,Racicot
Corette,Maheu
Laurent,Faure
Aubrey,Gabriaux
Olivier,Paradis
Marphisa,Beaudouin
Ferrau,Petrie
Agnès,Quiron
Jacques,Guilmette
Pensee,Mouet
Anaïs,Sauvé
Millard,Duperré
Florismart,Piedalue
Hedvige,Jardine
Geneviève,Cliche
Normand,Varieur
Turner,Brasseur
Agnès,Pouliotte
Louise,Dupéré
Demi,Labrecque
Ansel,Méthot
Bradamate,Coulombe
Hardouin,Carignan
Guillaume,Dionne
Matthieu,Daigneault
Orville,Bélanger
Bevis,Marseau
Parfait,Arpin
Florence,Patry
Leroy,Franchet
Desire,Echeverri
Bevis,Longpré
Gabrielle,D'Avis
Amber,Cailot
Aceline,Lemaître
Isabelle,Narcisse
Comforte,Lachapelle
Solaine,Camus
Émile,Fremont
Moore,Clavette
Lotye,Camus
Lyle,Giroux
Chappell,Chaloux
Senapus,Verreau
Royce,Lavoie
Vachel,Marleau
Bayard,Dostie
André,Lamoureux
Brunella,Hervieux
Denis,Sciverit
Arridano,Verreau
Hugues,Riel
Gano,Boncoeur
Théodore,Beaulac
Zerbino,Berthiaume
Bellamy,Brunault
Anton,Rochefort
Victor,Lang
Clémence,Briard
Lucille,Dubois
Blanche,Dupuis
Gaetan,Beauchemin
Guy,Mercier
Albracca,Covillon
Florus,Brousseau
Vaden,Laframboise
Latimer,Chartré
Pierrette,Plouffe
Édouard,Meunier
Maurelle,Gagnon
Rosemarie,Cailot
Audrey,Charron
Hamilton,Houle
Virginie,Fresne
Amélie,Marcil
Nicole,Austin
Anton,Martel
Brigitte,Gaillou
Musette,Huppé
Adrienne,Lamy
Amarante,Bonsaint
Hamilton,Senneville
Germain,Faucher
Timothée,Guilmette
Maslin,Charrette
Liane,Rousseau
Tanguy,Bourgouin
Dominique,Gougeon
Dominic,Édouard
René,Cadieux
Brigliador,Vaillancourt
Roger,Lemieux
Elita,Crête
Aubrey,Chaloux
Landers,Gingras
Caroline,Gabriaux
Tempeste,Cloutier
Yolette,Bouchard
Laure,Coupart
Aubin,Dupuis
Oliver,Ratté
Jessamine,Michaud
Harcourt,Sarrazin
Gill,Lafond
Xavier,Bourgeois
Nouel,David
Morgana,Bériault
Arridano,Charette
Fantina,Lepage
André,Savard
Yolande,Parent
Arnaud,Charron
Fayme,Favreau
Chapin,Brasseur
Favor,Lamour
Amarante,Martel
Rive,Doucet
Agate,Bonenfant
Édouard,Desilets
Germaine,Marquis
Kerman,Gougeon
Fortun,Saindon
Pierpont,Rossignol
Marshall,Côté
Lorraine,Deblois
Parfait,Charlebois
Hardouin,Plouffe
Hélène,David
Minette,Gaillou
Leala,Morneau
Cerise,Fongemie
Anaïs,Therrien
Lowell,Sansouci
William,Savard
Eleanor,Berger
Charlotte,Rodrigue
Russell,Cyr
Leone,Barrette
Anne,Labossière
Onfroi,Pirouet
